cik_str,ticker
1,NVDA
2,GOOGL
3,AAPL
4,MSFT
5,AMZN
6,AVGO
7,META
8,TSLA
9,BRK-B
10,WMT
11,JPM
12,LLY
13,XOM
14,V
15,ASML
16,JNJ
17,MU
18,ORCL
19,MA
20,NFLX
21,COST
22,AMD
23,CYATY
24,BAC
25,CVX
26,ABBV
27,CAT
28,LRCX
29,HD
30,PG
31,GE
32,KO
33,PLTR
34,INTC
35,AZN
36,BABA
37,HSBC
38,AMAT
39,MRK
40,NVS
41,MS
42,TM
43,RTX
44,GS
45,GEV
46,SHEL
47,WFC
48,PM
49,RY
50,KLAC
51,LIN
52,C
53,IBM
54,AXP
55,MCD
56,PEP
57,TMUS
58,RTNTF
59,MUFG
60,BHP
61,TXN
62,SAP
63,TMO
64,ANET
65,VZ
66,NEE
67,AMGN
68,APH
69,DIS
70,SAN
71,T
72,TJX
73,ABT
74,NVO
75,GILD
76,TD
77,SCHW
78,ARM
79,ADI
80,ISRG
81,DTEGY
82,BLK
83,RIO
84,CRM
85,SCCO
86,ETN
87,BX
88,PFE
89,SHOP
90,UBER
91,UNP
92,WELL
93,GLW
94,BUD
95,APP
96,COP
97,MASK
98,HTHIY
99,BKNG
100,QCOM
101,LMT
102,DHR
103,SNDK
104,LOW
105,HDB
106,UBS
107,PBR
108,SMFG
109,BBVA
110,SYK
111,PANW
112,IBKR
113,NEM
114,PLD
115,CB
116,SPGI
117,ATEYY
118,UL
119,WDC
120,PH
121,SONY
122,KXIAY
123,DELL
124,BP
125,STX
126,VRT
127,GSK
128,BMY
129,MRVL
130,ACN
131,SNY
132,ENB
133,PGR
134,MDT
135,VRTX
136,SBUX
137,HCA
138,XYF
139,MO
140,SO
141,CME
142,CEG
143,MCK
144,MFG
145,SPOT
146,BMO
147,IBN
148,TT
149,EQIX
150,HWM
151,BN
152,ITUB
153,CMCSA
154,INTU
155,CRWD
156,DUK
157,FCX
158,CM
159,MAR
160,NOC
161,ADBE
162,CNQ
163,BSX
164,EQNR
165,MELI
166,KKR
167,NOW
168,GD
169,ICE
170,WM
171,BK
172,PNC
173,PWR
174,BAESY
175,NGG
176,FDX
177,WMB
178,USB
179,JCI
180,ING
181,CMI
182,MGCLY
183,MRSH
184,SHW
185,CVNA
186,AMT
187,LYG
188,BCS
189,E
190,EMR
191,CDNS
192,EPD
193,MMM
194,SNPS
195,ABNB
196,REGN
197,AMX
198,ADP
199,ITW
200,CRH
201,ORLY
202,MCO
203,BAM
204,SLB
205,SPG
206,VALE
207,ECL
208,RCL
209,HLT
210,SU
211,NU
212,MDLZ
213,CP
214,JFIN
215,AEP
216,MNST
217,TDG
218,MSI
219,NTES
220,CI
221,ROST
222,EOG
223,HOOD
224,DASH
225,CTAS
226,VLO
227,KMI
228,TEL
229,AON
230,WBD
231,DLR
232,IFNNY
233,NWG
234,CL
235,NSC
236,WPM
237,MPWR
238,APO
239,LHX
240,CIEN
241,PCAR
242,NKE
243,RSG
244,DB
245,TRV
246,TRP
247,PSX
248,RACE
249,MFC
250,TFC
251,IMO
252,LSEGY
253,SRE
254,COR
255,RELX
256,BKR
257,EONGY
258,UI
259,O
260,ASX
261,COHR
262,FTNT
263,FIX
264,AZO
265,NOK
266,TER
267,KEYS
268,INFY
269,AJG
270,TAK
271,BDX
272,D
273,MPLX
274,CTVA
275,ALL
276,VST
277,QTTB
278,GWW
279,LNG
280,TGT
281,CARR
282,AME
283,OKE
284,ETR
285,FERG
286,FER
287,ARGX
288,TRGP
289,FAST
290,ZTS
291,GRMN
292,EA
293,SE
294,CAH
295,CCJ
296,MET
297,XEL
298,COIN
299,EXC
300,FNV
301,NDAQ
302,ABEV
303,URI
304,CVE
305,BSBR
306,ADSK
307,CSLLY
308,MSTR
309,MT
310,GALDY
311,DAL
312,IDXX
313,CMG
314,WAB
315,ROK
316,GWLIF
317,EW
318,EBAY
319,JD
320,FITB
321,ALNY
322,WDS
