cik_str,ticker
1,SPY
2,CSCO
3,UNH
4,QQQ
5,TTE
6,BA
7,DE
8,HON
9,BTI
10,COF
11,GLD
12,CVS
13,BNS
14,IAU
15,UPS
16,CSX
17,GM
18,ELV
19,CNI
20,APD
21,MPC
22,ET
23,NET
24,BE
25,CRWV
26,LITE
27,BMWKY
28,AFL
29,OXY
30,PSA
31,NXPI
32,FANG
33,F
34,SNOW
35,DEO
36,SCMWY
37,RKT
38,CBRE
39,KR
40,RBLX
41,NBIS
42,HSY
43,GBTC
44,DIA
45,TTWO
46,SATS
47,CCI
48,ROP
49,MDY
50,QSR
51,IRM
52,KVUE
53,INSM
54,ADM
55,DOW
56,DVN
57,EL
58,CFG
59,CHTR
60,DG
61,PBA
62,SLV
63,TELNY
64,RF
65,AVB
66,OMC
67,HUM
68,LYB
69,BEP
70,EFX
71,JBHT
72,LUV
73,CIB
74,ASBHY
75,BCH
76,RIVN
77,DKS
78,TU
79,FTV
80,AMCR
81,FLUT
82,GIS
83,MKSI
84,TRMOY
85,YPF
86,SGI
87,NIO
88,CLH
89,TLN
90,TEAM
91,WPC
92,OVV
93,H
94,ASND
95,GPC
96,MAA
97,WCC
98,BBIO
99,USO
100,CAR
101,CNH
102,PNFP
103,CRRFY
104,GFL
105,ALLY
106,AKAM
107,UNM
108,IONS
109,JAZZ
110,PSKY
111,CRBG
112,PL
113,DOC
114,CONE
115,SCI
116,GH
117,BLD
118,EQH
119,AFG
120,LGN
121,GIL
122,BPYPP
123,FPS
124,PAG
125,TFII
126,GSAT
127,BZLFY
128,OGE
129,KNX
130,MGM
131,UHAL
132,SJM
133,W
134,BLDR
135,RBRK
136,FNMA
137,SNAP
138,BPOP
139,AXSM
140,ARWR
141,GLXY
142,BAX
143,ACI
144,APLD
145,LINE
146,TEM
147,WULF
148,R
149,GDS
150,FR
151,NUVL
152,TAP
153,MSGS
154,CYTK
155,LUMN
156,SIRI
157,ARE
158,IBRX
159,VSAT
160,BEPC
161,FRO
162,CIFR
163,JXN
164,VFC
165,CE
166,LBRDA
167,MTDR
168,AN
169,RIOT
170,STWD
171,JBTM
172,JAN
173,SM
174,LAD
175,WH
176,GXO
177,CHDN
178,NSA
179,GBCI
180,KMX
181,SFGYY
182,CPB
183,ACT
184,REZI
185,MTG
186,CORZ
187,NXST
